user,text,sentiment,gender,race,age,age_bin,pred_prob,pred_label,mitigated_prob,mitigated_label
LaLaLindsey0609,AHHH I HOPE YOUR OK!!!,0,1.0,0,56,1,0.14877965,0,0.69685984,1
sammydearr,"i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",0,1.0,0,47,1,0.80255103,1,0.57048386,1
Lamb_Leanne,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,0,1.0,1,64,1,0.0010239863,0,0.03921341,0
jessig06,on lunch....dj should come eat with me,1,1.0,0,57,1,0.65157324,1,0.8086513,1
felicityfuller,oh why are you feeling like that?,0,0.0,1,18,0,0.09884061,0,0.29662815,0
stephiiheyy,gahh noo!peyton needs to live!this is horrible,0,0.0,1,58,1,0.1750552,0,0.031180168,0
salmafan,Zach makes me pee sitting down! And I'm a grown gay man!,1,1.0,1,32,0,0.30783743,0,0.33612397,0
DannyMacRant,Great minds think alike,1,1.0,0,62,1,0.38623652,0,0.9522388,1
Arabellakind,Is Poorly and in bed!,0,1.0,0,58,1,0.7217648,1,0.54160917,1
Reisei,"Oh, that's really great  Here we have a small blizzard and also cold wind blows...",1,0.0,0,44,1,0.7360897,1,0.65153456,1
andylackie,"lol, calm down.  i got a 30day loan offer for only 1500%",1,1.0,1,61,1,0.3472989,0,0.57741684,1
risha_,Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.,0,0.0,1,32,0,0.69957685,1,0.6827674,1
stephrunscity,"ugh, morning's off to a rough start",0,0.0,1,33,0,0.19044942,0,0.12699361,0
cathymcewan,just bit my tongue,0,1.0,1,57,1,0.19182815,0,0.41455665,0
Jaystevens3,Apparently you dont have time for ur fans!!!!!!!!!!,0,0.0,1,38,0,0.47364464,0,0.47478503,0
Kate_BridgeMin,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,1,0.0,1,40,1,0.040673517,0,0.7360219,1
babysitter187,"baby's chicken pox are soo bad on the face, I am afraid she might have scars",0,1.0,1,39,0,0.017589867,0,0.07970056,0
alyshmun,i don't feel good,0,1.0,0,26,0,0.17455885,0,0.29078314,0
nailbiter2,"I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",0,1.0,0,57,1,0.087571196,0,0.51353496,1
violetile,"Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less",0,0.0,1,33,0,0.01845185,0,0.08241714,0
RubyRedsocks,what is with msn making me click the wrong people. garrrrr,0,0.0,1,34,0,0.08370834,0,0.47500288,0
MardiAliyah,How to Get Your Ex Back (worked for me,1,0.0,0,49,1,0.04692349,0,0.52794695,1
Mystinguette,Time to sleep... Long day again tomorrow,0,0.0,0,24,0,0.17210096,0,0.39423242,0
EmelyCuellar,Hahaha blakk is reckkkin it. :p throwwwwwed.,1,0.0,0,47,1,0.3608685,0,0.7574724,1
jessrupsch,Cubs game today! My first ever,1,1.0,0,51,1,0.1820263,0,0.7016257,1
humanintersect,LOL.  Leave a kid on internet and the kid will do stupid things.,1,0.0,0,31,0,0.034966394,0,0.17936715,0
iamericpham,eating cha with eric,1,0.0,1,25,0,0.083021685,0,0.7793051,1
Rasmussos,FCK-Brï¿½ndby 4-0!,1,1.0,1,33,0,0.46884406,0,0.47982344,0
themcflyoldies,jealous!  I'm yet to find a local chinese i'm satisfied with,0,0.0,0,42,1,0.046457116,0,0.11975872,0
tanyanoel,there r a few of us local yocals around  happy to find u on twitter 2day,1,1.0,1,40,1,0.87264425,1,0.71420807,1
Boddingtons,welcome new cd out this week...maybe even tomorrow!,1,1.0,1,34,0,0.8814508,1,0.8176881,1
raphaelmalikian,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too",1,1.0,0,34,0,0.7491435,1,0.8298393,1
Juliaw467,"beach this morning,bbq this afternoon. Back to school/work 2morro",0,1.0,1,59,1,0.0028521789,0,0.10821063,0
Jass53,and you are how old?? REALLY?!?,1,0.0,0,45,1,0.67934823,1,0.63993484,1
conceptdev,siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,0,1.0,0,38,0,0.00011166011,0,0.2615179,0
RockIt_Man,,1,1.0,0,30,0,0.4279545,0,0.49770784,0
jodicobb,Night in with the rock star...,1,0.0,1,51,1,0.81591576,1,0.86778986,1
stavsxx,Don't really have a reason.. haha sounds stupid. I'll be 14,1,1.0,0,42,1,0.20015578,0,0.54998565,1
wenckeo,"my tooth is sving, and I cannot see my dentist for a week",0,0.0,1,42,1,0.24015315,0,0.119773045,0
paulagutz2,cant sleep got heartburn really bad,0,1.0,1,54,1,0.075994596,0,0.035131324,0
EvadaJsMomma,Going To Bed ...My Ankle Hurts,0,0.0,1,25,0,0.024311243,0,0.09047092,0
cindypar7,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay,0,0.0,1,64,1,0.00043328895,0,0.047570877,0
AnotherJulia,"Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing",1,1.0,1,63,1,0.9352568,1,0.6005054,1
SarahStramel,Listening to the Nutcracker.  Who says it's only a Christmas thing?!,1,0.0,0,18,0,0.8415172,1,0.8177276,1
nikechik,are you missing me? i'm missing my tuesday nights of 90210,0,1.0,0,26,0,0.0002446059,0,0.01896097,0
AlphaXi26,Awesome pumpkin! Your famous,1,1.0,0,23,0,0.9406547,1,0.9268109,1
Cherye101,"awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",0,0.0,1,34,0,0.20877469,0,0.48452085,0
ahmednaguib,"seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot;",1,1.0,1,26,0,0.16531064,0,0.6974691,1
natalieavendano,I am so hungry  I hate not eating breakfast!,0,1.0,1,48,1,0.010386505,0,0.027550366,0
allyd0124,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish,0,1.0,0,45,1,0.0069419416,0,0.028416466,0
Inyxia,NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE.,1,0.0,0,35,0,0.0035121425,0,0.11192416,0
mar_spain,"Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early",1,0.0,0,41,1,0.9034617,1,0.956992,1
monadetail,i have find my someone,1,1.0,0,47,1,0.06347866,0,0.17143549,0
isaytunnaa,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,1,0.0,0,52,1,0.39338067,0,0.9304035,1
Mel_Preston,I'm obsessed with twitting  haha,1,0.0,0,26,0,0.33830357,0,0.8364611,1
emmaplowman,my thumb hurts after breaking the nail....,0,0.0,1,29,0,0.0008253783,0,0.0258097,0
Karen_theArtist,"Congrats on the 4x platinum  It's a fantastic album, one of my favs",1,0.0,1,23,0,0.9425139,1,0.9644737,1
oliviaa_m,"Yeahh, that would be pretty awesome.",1,1.0,1,50,1,0.87633026,1,0.95695055,1
GiuliaNapo,that page doesn't exist,0,0.0,0,22,0,0.16906537,0,0.25074062,0
kentz,fighting a cold.,0,1.0,0,35,0,0.3425159,0,0.19072945,0
CaitEggers,my phone is dying  no charger here!,0,1.0,1,33,0,0.041008882,0,0.045764945,0
KaiRutlin,Back to school on Monday...Well I did get an iPod Touch.  +  See yah tomorrow then I guess,0,1.0,1,57,1,0.0097915325,0,0.57051307,1
ChelseyFlood,i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,0,0.0,0,43,1,0.09762815,0,0.38621828,0
personified,tried to check out your site  ... not working,0,1.0,1,21,0,0.09708352,0,0.2001831,0
marchurtubise,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace,1,0.0,0,44,1,0.91118705,1,0.9771758,1
jenjnyjen,pimples attack! Arghhhhhhhhh,0,0.0,0,63,1,0.42075428,0,0.45660278,0
alyssaanciro,"has to pack, stillll. and doesn't want to..",0,1.0,0,52,1,0.03638107,0,0.026968043,0
Jadame_Tamuli,How dare you get some before I have a chance to. You're no longer my friend,0,0.0,0,42,1,0.14937131,0,0.28917146,0
Emiaj20,"Can't stop listening to the clips of  new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing",1,0.0,1,35,0,0.22695412,0,0.85546684,1
carmenmg5,you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow,1,0.0,0,33,0,0.013057911,0,0.9467615,1
MollyMonochrome,can it be fixed?  can we make a new simple one mayb?,0,1.0,0,52,1,0.1782704,0,0.93906206,1
kingyan,Where in Singapore do they sell Dujour?,0,1.0,0,47,1,0.11575188,0,0.142674,0
fellowcreative,"thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking",1,0.0,1,41,1,0.78461987,1,0.7321069,1
Nicksmylovebug,"Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube.",1,1.0,1,61,1,0.7651796,1,0.9597416,1
andreabee,Who else misses Parade the day incredibly much..,0,1.0,1,64,1,0.104312435,0,0.3751919,0
Breedlo,I was caller number one.,0,0.0,0,36,0,0.36245504,0,0.35678375,0
allison6071,ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck!,0,0.0,1,29,0,0.018906707,0,0.19101542,0
loucan,"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see...  cheers, Lou-ann",1,1.0,1,51,1,0.24675079,0,0.95075756,1
Lisa107b,"Sorry, I know I'm late responding (15hrs  timezone troubles) but I think you would need to load Audacity to your compy",0,0.0,1,42,1,0.012666523,0,0.06297104,0
