user,text,sentiment,gender,pred_prob,pred_label,mitigated_prob,mitigated_label
LaLaLindsey0609,AHHH I HOPE YOUR OK!!!,0,1.0,0.87773114,1.0,0.619593,1
sammydearr,"i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",0,1.0,0.84075016,1.0,0.49173588,0
Lamb_Leanne,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,0,1.0,0.6700683,1.0,0.054475185,0
jessig06,on lunch....dj should come eat with me,1,1.0,0.8829494,1.0,0.72554195,1
felicityfuller,oh why are you feeling like that?,0,0.0,0.86991715,1.0,0.3925081,0
stephiiheyy,gahh noo!peyton needs to live!this is horrible,0,0.0,0.76903,1.0,0.046539236,0
salmafan,Zach makes me pee sitting down! And I'm a grown gay man!,1,1.0,0.8012807,1.0,0.28355506,0
DannyMacRant,Great minds think alike,1,1.0,0.9038015,1.0,0.9569791,1
Arabellakind,Is Poorly and in bed!,0,1.0,0.8693064,1.0,0.5329822,1
Reisei,"Oh, that's really great  Here we have a small blizzard and also cold wind blows...",1,0.0,0.872456,1.0,0.75163716,1
andylackie,"lol, calm down.  i got a 30day loan offer for only 1500%",1,1.0,0.8439324,1.0,0.5340711,1
risha_,Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.,0,0.0,0.8499297,1.0,0.72904164,1
stephrunscity,"ugh, morning's off to a rough start",0,0.0,0.82753104,1.0,0.16904718,0
cathymcewan,just bit my tongue,0,1.0,0.84701246,1.0,0.44336256,0
Jaystevens3,Apparently you dont have time for ur fans!!!!!!!!!!,0,0.0,0.89691365,1.0,0.44771105,0
Kate_BridgeMin,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,1,0.0,0.83870643,1.0,0.7752306,1
babysitter187,"baby's chicken pox are soo bad on the face, I am afraid she might have scars",0,1.0,0.74707437,1.0,0.123200566,0
alyshmun,i don't feel good,0,1.0,0.8321113,1.0,0.3588215,0
nailbiter2,"I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",0,1.0,0.7863207,1.0,0.66400015,1
violetile,"Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less",0,0.0,0.7289804,1.0,0.091661036,0
RubyRedsocks,what is with msn making me click the wrong people. garrrrr,0,0.0,0.85829306,1.0,0.46012455,0
MardiAliyah,How to Get Your Ex Back (worked for me,1,0.0,0.8663289,1.0,0.63395596,1
Mystinguette,Time to sleep... Long day again tomorrow,0,0.0,0.8463924,1.0,0.44316027,0
EmelyCuellar,Hahaha blakk is reckkkin it. :p throwwwwwed.,1,0.0,0.8716228,1.0,0.77216154,1
jessrupsch,Cubs game today! My first ever,1,1.0,0.8583601,1.0,0.7238192,1
humanintersect,LOL.  Leave a kid on internet and the kid will do stupid things.,1,0.0,0.83734846,1.0,0.29575408,0
iamericpham,eating cha with eric,1,0.0,0.89146394,1.0,0.83148384,1
Rasmussos,FCK-Brï¿½ndby 4-0!,1,1.0,0.8644387,1.0,0.43970272,0
themcflyoldies,jealous!  I'm yet to find a local chinese i'm satisfied with,0,0.0,0.78252673,1.0,0.14337063,0
tanyanoel,there r a few of us local yocals around  happy to find u on twitter 2day,1,1.0,0.85725737,1.0,0.48183775,0
Boddingtons,welcome new cd out this week...maybe even tomorrow!,1,1.0,0.8660942,1.0,0.8187771,1
raphaelmalikian,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too",1,1.0,0.8551183,1.0,0.7831738,1
Juliaw467,"beach this morning,bbq this afternoon. Back to school/work 2morro",0,1.0,0.7754168,1.0,0.1172972,0
Jass53,and you are how old?? REALLY?!?,1,0.0,0.9005877,1.0,0.7044522,1
conceptdev,siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,0,1.0,0.84889144,1.0,0.6353886,1
RockIt_Man,,1,1.0,0.8779697,1.0,0.5256914,1
jodicobb,Night in with the rock star...,1,0.0,0.90574014,1.0,0.90080744,1
stavsxx,Don't really have a reason.. haha sounds stupid. I'll be 14,1,1.0,0.85146004,1.0,0.35286644,0
wenckeo,"my tooth is sving, and I cannot see my dentist for a week",0,0.0,0.77432305,1.0,0.21487057,0
paulagutz2,cant sleep got heartburn really bad,0,1.0,0.76508015,1.0,0.04343683,0
EvadaJsMomma,Going To Bed ...My Ankle Hurts,0,0.0,0.7886132,1.0,0.0836687,0
cindypar7,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay,0,0.0,0.7793903,1.0,0.03416414,0
AnotherJulia,"Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing",1,1.0,0.82009786,1.0,0.4175693,0
SarahStramel,Listening to the Nutcracker.  Who says it's only a Christmas thing?!,1,0.0,0.87052804,1.0,0.8118153,1
nikechik,are you missing me? i'm missing my tuesday nights of 90210,0,1.0,0.7574785,1.0,0.033212543,0
AlphaXi26,Awesome pumpkin! Your famous,1,1.0,0.9107774,1.0,0.94346225,1
Cherye101,"awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",0,0.0,0.8596687,1.0,0.51009256,1
ahmednaguib,"seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot;",1,1.0,0.8489311,1.0,0.71477944,1
natalieavendano,I am so hungry  I hate not eating breakfast!,0,1.0,0.628239,1.0,0.035615474,0
allyd0124,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish,0,1.0,0.6427276,1.0,0.05310485,0
Inyxia,NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE.,1,0.0,0.58439267,0.0,0.08472461,0
mar_spain,"Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early",1,0.0,0.8600563,1.0,0.96213573,1
monadetail,i have find my someone,1,1.0,0.79800683,1.0,0.18533851,0
isaytunnaa,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,1,0.0,0.8710839,1.0,0.95653635,1
Mel_Preston,I'm obsessed with twitting  haha,1,0.0,0.8932443,1.0,0.84883815,1
emmaplowman,my thumb hurts after breaking the nail....,0,0.0,0.79609954,1.0,0.051338054,0
Karen_theArtist,"Congrats on the 4x platinum  It's a fantastic album, one of my favs",1,0.0,0.8875269,1.0,0.96459275,1
oliviaa_m,"Yeahh, that would be pretty awesome.",1,1.0,0.90691364,1.0,0.9496712,1
GiuliaNapo,that page doesn't exist,0,0.0,0.8387454,1.0,0.2919966,0
kentz,fighting a cold.,0,1.0,0.85554665,1.0,0.25556365,0
CaitEggers,my phone is dying  no charger here!,0,1.0,0.7311262,1.0,0.051718313,0
KaiRutlin,Back to school on Monday...Well I did get an iPod Touch.  +  See yah tomorrow then I guess,0,1.0,0.78370214,1.0,0.65486807,1
ChelseyFlood,i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,0,0.0,0.76864386,1.0,0.24759774,0
personified,tried to check out your site  ... not working,0,1.0,0.8227945,1.0,0.37033343,0
marchurtubise,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace,1,0.0,0.913299,1.0,0.9888353,1
jenjnyjen,pimples attack! Arghhhhhhhhh,0,0.0,0.8714927,1.0,0.51783663,1
alyssaanciro,"has to pack, stillll. and doesn't want to..",0,1.0,0.76934403,1.0,0.05717239,0
Jadame_Tamuli,How dare you get some before I have a chance to. You're no longer my friend,0,0.0,0.808146,1.0,0.25863698,0
Emiaj20,"Can't stop listening to the clips of  new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing",1,0.0,0.85093486,1.0,0.89207435,1
carmenmg5,you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow,1,0.0,0.90705985,1.0,0.95932883,1
MollyMonochrome,can it be fixed?  can we make a new simple one mayb?,0,1.0,0.91278833,1.0,0.93082225,1
kingyan,Where in Singapore do they sell Dujour?,0,1.0,0.83046114,1.0,0.21052864,0
fellowcreative,"thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking",1,0.0,0.86879134,1.0,0.8046248,1
Nicksmylovebug,"Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube.",1,1.0,0.8865343,1.0,0.9676451,1
andreabee,Who else misses Parade the day incredibly much..,0,1.0,0.860239,1.0,0.4783792,0
Breedlo,I was caller number one.,0,0.0,0.8311945,1.0,0.35969317,0
allison6071,ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck!,0,0.0,0.6637394,0.0,0.17894931,0
loucan,"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see...  cheers, Lou-ann",1,1.0,0.91808033,1.0,0.9455264,1
Lisa107b,"Sorry, I know I'm late responding (15hrs  timezone troubles) but I think you would need to load Audacity to your compy",0,0.0,0.6308818,0.0,0.061694242,0
RichardLloyd18,History exam today and dreading it,0,1.0,0.8359356,1.0,0.3454478,0
Jamie_Cheroske,Just downloaded a new Twitter app for my phone. So much better already.,1,0.0,0.8626289,1.0,0.7731346,1
daniel_myers,I seem to be making a habbit out of not falling asleep until very late,0,1.0,0.7125811,1.0,0.06792549,0
alecialisten4,Missionaries had passport problems. Still havn't arrived  ya'll pray!,0,1.0,0.76800567,1.0,0.052437183,0
shannonstone,had a very good night,1,0.0,0.89924693,1.0,0.7480302,1
jacobjoel,"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight  #fb",1,0.0,0.8033788,1.0,0.84899527,1
MikeAbundo,Off to the Miss Bikini Philippines pageant. Thanks to  for the ticket!,1,1.0,0.851623,1.0,0.68673164,1
FranHearn,Friends with scott again,1,0.0,0.8883939,1.0,0.7393449,1
deniserostro,I think that my lovely brother  should take me and his lovely sister  to Old Town for some dinn dinn &amp; margaritas,1,1.0,0.85561484,1.0,0.97210264,1
bryanarmada,season is almost done with babe,0,1.0,0.8632789,1.0,0.4609595,0
Samantha_Mayy,Diversity won! damnn i wanted flawless to win,0,1.0,0.82281077,1.0,0.5362802,1
jaziiandbrytt,can some one pleease tell me how to work out the total surface area of a square pyramid?,0,0.0,0.8361001,1.0,0.316715,0
MandyPandy32,*Phew* Hate to think you and Colin had fallen out! Glad he's smiling for you. Hip Hip Hip Hooray!!,1,0.0,0.8954605,1.0,0.9841599,1
laineybogs,Still cant get Jonas Bros tickets..dreading facing my niece later on ( I can see the tantrum now). Hope they put on another gig in Dublin,0,0.0,0.7429876,1.0,0.17706402,0
Sabrinagoh,"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not",0,1.0,0.7111549,1.0,0.24777186,0
Emoly_,I Was Looking at an Old Poster From Busted The Other Day  You Had Really Short Hair And Everythng   Young Ta Old,1,1.0,0.8482767,1.0,0.6727638,1
lizzayyyyyy,"Ugh, so bored today!",0,0.0,0.8033248,1.0,0.115754664,0
NAYKIDD,home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em?,1,0.0,0.6771835,0.0,0.83309036,1
artalive,Still at work  This entire week has felt like an extremely long and awful Monday!,0,1.0,0.6779286,1.0,0.050055593,0
Morfin,Upgraded iPhone to 3.0 but seem to have weaker link to tamu wireless,0,1.0,0.70493054,1.0,0.052685764,0
lioneris,morning twitterland...off to work i go,0,1.0,0.7903362,1.0,0.15526938,0
LarryWentz,I'm such a plantaholic.... I spent several thousand $s the last few years planting at my brothers lake cabin - he sold it,0,1.0,0.695312,1.0,0.19132292,0
imabhi000,Trying to learn some &quot;PHOTOGRAPHY&quot;,1,0.0,0.8713781,1.0,0.7348453,1
AllanJYu,I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!,1,1.0,0.93978846,1.0,0.99711496,1
VivinAlvernia,already miss baby donkey,0,0.0,0.7927231,1.0,0.0490374,0
timjeffries,I have it on good authority that we'll be getting it around 3am.,0,1.0,0.851215,1.0,0.7992162,1
OneAndOnlyLia,I am sooo tired!! My eyes literally can't stay open,0,0.0,0.6682163,0.0,0.03968073,0
alyssakris,I hate word challenge on facebook!,0,1.0,0.80523777,1.0,0.20878495,0
sawanm,"Wants a free doughnut, Krispy Kremes are so expensive, but 10 million times better than other doughnuts.",0,0.0,0.7881154,1.0,0.12867294,0
SarahisanEskimo,new phone  tattoo on monday! Woo.. just had tea. yummy.,1,0.0,0.8722822,1.0,0.93607587,1
maryroof,I want to post lol cats on here but I can't,0,0.0,0.692609,0.0,0.07757902,0
DaveTaylor,I have no comment about who won the game until this replay is completed.,1,1.0,0.807555,1.0,0.72969455,1
chuckishere,Thank you everyone. I seriously am I lucky guy to have such great and lovely friends. Let's keep in touch  chuckishere.com at #LAX,1,1.0,0.87437934,1.0,0.98930466,1
carissacaricato,TALK meeting tonight at Tampa Chamber at 6pm with  as guest speaker on Word of Mouth Marketing! Happy Hour after @ Tinatapas,1,0.0,0.87363696,1.0,0.96415746,1
