user,text,sentiment,gender,race,age,age_bin,pred_prob,pred_label,mitigated_prob,mitigated_label
LaLaLindsey0609,AHHH I HOPE YOUR OK!!!,0,1.0,0,63,1,0.46156597,0,0.66051984,1
sammydearr,"i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",0,1.0,1,38,0,0.46626988,0,0.58032656,1
Lamb_Leanne,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,0,1.0,1,23,0,0.37629652,0,0.05917138,0
jessig06,on lunch....dj should come eat with me,1,1.0,0,49,1,0.50137967,1,0.78206456,1
felicityfuller,oh why are you feeling like that?,0,0.0,1,60,1,0.48922533,0,0.31069544,0
stephiiheyy,gahh noo!peyton needs to live!this is horrible,0,0.0,0,59,1,0.41340077,0,0.05213534,0
salmafan,Zach makes me pee sitting down! And I'm a grown gay man!,1,1.0,1,30,0,0.41830218,0,0.30326027,0
DannyMacRant,Great minds think alike,1,1.0,1,54,1,0.5170449,1,0.93933123,1
Arabellakind,Is Poorly and in bed!,0,1.0,1,50,1,0.44577006,0,0.52416986,1
Reisei,"Oh, that's really great  Here we have a small blizzard and also cold wind blows...",1,0.0,0,55,1,0.4546973,0,0.6212042,1
andylackie,"lol, calm down.  i got a 30day loan offer for only 1500%",1,1.0,1,27,0,0.47132382,0,0.5179793,1
risha_,Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.,0,0.0,1,52,1,0.45623907,0,0.67112994,1
stephrunscity,"ugh, morning's off to a rough start",0,0.0,0,31,0,0.420053,0,0.1493856,0
cathymcewan,just bit my tongue,0,1.0,1,61,1,0.4658256,0,0.45226654,0
Jaystevens3,Apparently you dont have time for ur fans!!!!!!!!!!,0,0.0,1,28,0,0.515208,1,0.48974663,0
Kate_BridgeMin,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,1,0.0,0,42,1,0.47299242,0,0.6315075,1
babysitter187,"baby's chicken pox are soo bad on the face, I am afraid she might have scars",0,1.0,1,20,0,0.34055674,0,0.08213351,0
alyshmun,i don't feel good,0,1.0,0,36,0,0.44077793,0,0.277055,0
nailbiter2,"I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",0,1.0,1,64,1,0.3708473,0,0.46603462,0
violetile,"Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less",0,0.0,1,64,1,0.35286054,0,0.079249285,0
RubyRedsocks,what is with msn making me click the wrong people. garrrrr,0,0.0,1,38,0,0.4648746,0,0.43191102,0
MardiAliyah,How to Get Your Ex Back (worked for me,1,0.0,0,19,0,0.48072794,0,0.4539359,0
Mystinguette,Time to sleep... Long day again tomorrow,0,0.0,1,40,1,0.41737434,0,0.38629517,0
EmelyCuellar,Hahaha blakk is reckkkin it. :p throwwwwwed.,1,0.0,1,49,1,0.4666441,0,0.7342686,1
jessrupsch,Cubs game today! My first ever,1,1.0,1,22,0,0.46024302,0,0.66916174,1
humanintersect,LOL.  Leave a kid on internet and the kid will do stupid things.,1,0.0,1,39,0,0.44969895,0,0.16764703,0
iamericpham,eating cha with eric,1,0.0,1,32,0,0.49070802,0,0.7339296,1
Rasmussos,FCK-Brï¿½ndby 4-0!,1,1.0,0,58,1,0.4873245,0,0.48338044,0
themcflyoldies,jealous!  I'm yet to find a local chinese i'm satisfied with,0,0.0,0,58,1,0.40887067,0,0.15218914,0
tanyanoel,there r a few of us local yocals around  happy to find u on twitter 2day,1,1.0,1,22,0,0.5159525,1,0.67163014,1
Boddingtons,welcome new cd out this week...maybe even tomorrow!,1,1.0,0,42,1,0.4846161,0,0.77279174,1
raphaelmalikian,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too",1,1.0,0,22,0,0.43887195,0,0.77906626,1
Juliaw467,"beach this morning,bbq this afternoon. Back to school/work 2morro",0,1.0,0,42,1,0.37702096,0,0.11367428,0
Jass53,and you are how old?? REALLY?!?,1,0.0,0,21,0,0.5169681,1,0.62291324,1
conceptdev,siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,0,1.0,0,55,1,0.40592027,0,0.28008974,0
RockIt_Man,,1,1.0,0,21,0,0.4867502,0,0.49834397,0
jodicobb,Night in with the rock star...,1,0.0,1,49,1,0.47942147,0,0.8551254,1
stavsxx,Don't really have a reason.. haha sounds stupid. I'll be 14,1,1.0,1,51,1,0.5172904,1,0.52919024,1
wenckeo,"my tooth is sving, and I cannot see my dentist for a week",0,0.0,1,50,1,0.37591174,0,0.15127344,0
paulagutz2,cant sleep got heartburn really bad,0,1.0,1,57,1,0.40346542,0,0.05377256,0
EvadaJsMomma,Going To Bed ...My Ankle Hurts,0,0.0,0,26,0,0.3939935,0,0.10056795,0
cindypar7,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay,0,0.0,0,39,0,0.32142863,0,0.06435218,0
AnotherJulia,"Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing",1,1.0,1,60,1,0.42823967,0,0.4582908,0
SarahStramel,Listening to the Nutcracker.  Who says it's only a Christmas thing?!,1,0.0,1,49,1,0.47339907,0,0.76966125,1
nikechik,are you missing me? i'm missing my tuesday nights of 90210,0,1.0,1,60,1,0.41273582,0,0.039209697,0
AlphaXi26,Awesome pumpkin! Your famous,1,1.0,0,28,0,0.51770943,1,0.91697925,1
Cherye101,"awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",0,0.0,0,56,1,0.45932737,0,0.52819705,1
ahmednaguib,"seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot;",1,1.0,1,40,1,0.45584908,0,0.686214,1
natalieavendano,I am so hungry  I hate not eating breakfast!,0,1.0,0,24,0,0.3070013,0,0.043436326,0
allyd0124,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish,0,1.0,1,58,1,0.31409535,0,0.046868086,0
Inyxia,NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE.,1,0.0,0,36,0,0.259574,0,0.06650925,0
mar_spain,"Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early",1,0.0,1,32,0,0.41308072,0,0.9590566,1
monadetail,i have find my someone,1,1.0,1,45,1,0.39801502,0,0.18139438,0
isaytunnaa,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,1,0.0,1,59,1,0.43841222,0,0.901941,1
Mel_Preston,I'm obsessed with twitting  haha,1,0.0,0,62,1,0.49509412,0,0.8188771,1
emmaplowman,my thumb hurts after breaking the nail....,0,0.0,1,32,0,0.38996026,0,0.051332735,0
Karen_theArtist,"Congrats on the 4x platinum  It's a fantastic album, one of my favs",1,0.0,0,23,0,0.46594942,0,0.96150464,1
oliviaa_m,"Yeahh, that would be pretty awesome.",1,1.0,1,43,1,0.5177298,1,0.95406234,1
GiuliaNapo,that page doesn't exist,0,0.0,1,33,0,0.44087562,0,0.25004512,0
kentz,fighting a cold.,0,1.0,0,32,0,0.47847584,0,0.23895672,0
CaitEggers,my phone is dying  no charger here!,0,1.0,0,44,1,0.3646751,0,0.056433424,0
KaiRutlin,Back to school on Monday...Well I did get an iPod Touch.  +  See yah tomorrow then I guess,0,1.0,0,47,1,0.33085814,0,0.5011435,1
ChelseyFlood,i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,0,0.0,0,38,0,0.40430596,0,0.19978108,0
personified,tried to check out your site  ... not working,0,1.0,0,21,0,0.42117843,0,0.20309778,0
marchurtubise,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace,1,0.0,1,56,1,0.48563004,0,0.9807814,1
jenjnyjen,pimples attack! Arghhhhhhhhh,0,0.0,1,62,1,0.4783759,0,0.46599215,0
alyssaanciro,"has to pack, stillll. and doesn't want to..",0,1.0,0,31,0,0.34398815,0,0.045088522,0
Jadame_Tamuli,How dare you get some before I have a chance to. You're no longer my friend,0,0.0,0,20,0,0.42622906,0,0.2707037,0
Emiaj20,"Can't stop listening to the clips of  new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing",1,0.0,1,53,1,0.4502704,0,0.83142054,1
carmenmg5,you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow,1,0.0,1,29,0,0.46214452,0,0.9408305,1
MollyMonochrome,can it be fixed?  can we make a new simple one mayb?,0,1.0,0,53,1,0.517139,1,0.8978099,1
kingyan,Where in Singapore do they sell Dujour?,0,1.0,0,36,0,0.4229097,0,0.17662027,0
fellowcreative,"thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking",1,0.0,1,34,0,0.49433735,0,0.7043325,1
Nicksmylovebug,"Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube.",1,1.0,0,34,0,0.5103507,1,0.9641654,1
andreabee,Who else misses Parade the day incredibly much..,0,1.0,0,57,1,0.46484765,0,0.44511005,0
Breedlo,I was caller number one.,0,0.0,0,26,0,0.42986664,0,0.35169557,0
allison6071,ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck!,0,0.0,1,34,0,0.2723476,0,0.16959144,0
loucan,"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see...  cheers, Lou-ann",1,1.0,0,32,0,0.51932764,1,0.93508846,1
